"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"84",22,"B4X1851",623.206850000223,2019-04-18 20:02:27,2019-04-19 06:25:35,4.411,-1,1131,0,1,3,2019-04-18 19:48:00,2019-04-18 20:16:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-19,6
"85",22,"B4X1851",623.206850000223,2019-04-18 20:02:27,2019-04-19 06:25:35,4.411,-1,1131,0,1,3,2019-04-18 19:48:00,2019-04-18 20:16:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-19,6
"86",22,"B4X1851",623.206850000223,2019-04-18 20:02:27,2019-04-19 06:25:35,4.411,-1,1131,0,1,3,2019-04-18 19:48:00,2019-04-18 20:16:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-19,6
"87",23,"B4P9614",636.107050001621,2019-05-05 19:49:27,2019-05-06 06:25:28,5.423,-1,1052,1,1,-1,2019-05-05 19:35:00,2019-05-05 20:03:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-05-06,6
"88",23,"B4P9614",636.107050001621,2019-05-05 19:49:27,2019-05-06 06:25:28,5.423,-1,1052,1,1,-1,2019-05-05 19:35:00,2019-05-05 20:03:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-05-06,6
"89",23,"B4P9614",636.107050001621,2019-05-05 19:49:27,2019-05-06 06:25:28,5.423,-1,1052,1,1,-1,2019-05-05 19:35:00,2019-05-05 20:03:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-05-06,6
"90",24,"B4H0230",708.705800000827,2019-04-12 19:11:48,2019-04-13 07:00:26,4.348,1,14,1,-1,1,2019-04-13 06:31:00,2019-04-13 07:29:59,"during",-30,33,9,1,1,29,"during",42,1,"1",5,2,7,1.1,0.3,1.4,2019-04-13,7
"91",24,"B4H0230",708.705800000827,2019-04-12 19:11:48,2019-04-13 07:00:26,4.348,1,14,1,-1,1,2019-04-13 06:31:00,2019-04-13 07:29:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-13,7
"92",24,"B4H0230",708.705800000827,2019-04-12 19:11:48,2019-04-13 07:00:26,4.348,1,14,1,-1,1,2019-04-13 06:31:00,2019-04-13 07:29:59,"after",-30,9,21,1,1,29,"after",30,1,"1",3,6,7,0.3,0.7,1,2019-04-13,7
"93",24,"B4H0230",26.0958333333333,2019-04-13 07:33:16,2019-04-13 07:59:20,1.75,0,15,1,-1,1,2019-04-13 07:08:00,2019-04-13 08:24:59,"before",-30,9,19,1,1,25,"before",28,1,"1",3,4,5,0.344882644100272,0.728085581989463,1.07296822608973,2019-04-13,7
